SalleDeBain,surface,chambres,salons,Secteur,price
1,101,2,2,Aïn Borja,990000
2,126,3,2,Maarif,2200000
2,81,2,1,Sidi Bernoussi,840000
2,100,2,2,Bourgogne,1100000
2,63,2,1,Autre secteur,680000
3,163,3,2,Quartier des Hôpitaux,2400000
1,67,2,1,Oulfa,580000
1,41,1,1,Maarif,880000
2,202,2,1,Racine,3000000
2,123,3,1,Oasis,1850000
1,72,2,2,Sidi Moumen,550000
2,81,2,1,Oasis,1270000
2,56,2,1,Ferme Bretone,1036000
1,81,2,1,Hay Moulay Rachid 2,650000
1,44,1,1,Oasis,1029000
2,99,2,1,Laimoune,1840000
2,88,2,1,Oasis,1540000
2,101,3,1,Sidi Bernoussi,935000
2,76,2,1,Oasis,1396500
2,88,2,1,Ferme Bretone,1540000
1,56,2,1,Oasis,990000
2,118,3,1,Maarif,1845000
2,114,2,1,Roches Noires,940000
1,94,2,1,Maarif,1250000
2,69,2,1,Oasis,1240000
2,85,2,1,Maarif,1495000
2,74,2,1,La Gironde,724000
2,126,3,2,Maarif,2200000
2,109,3,1,Belvédère,970000
3,125,3,2,Ferme Bretone,2156500
1,64,3,1,Lissasfa,530000
1,106,4,1,Sidi Maarouf,1100000
2,81,2,2,Aïn Borja,850000
1,82,1,2,Aïn Borja,920000
2,84,2,1,La Gironde,1100000
1,51,1,1,Beauséjour,809000
2,81,2,1,Oasis,1270000
2,92,2,1,Bourgogne,1050000
1,115,3,1,Roches Noires,900000
2,115,3,1,Val Fleuri,1650000
1,136,3,1,Maarif,1950000
2,130,3,2,La Gironde,1290000
2,92,2,1,Bourgogne,1050000
1,51,1,1,Beauséjour,809000
1,69,3,1,Aïn Borja,440000
2,96,2,1,Maarif,1390000
2,63,2,1,Quartier des Hôpitaux,1140000
2,46,1,1,Quartier des Hôpitaux,990000
2,122,3,1,Sidi Maarouf,1220000
2,174,4,3,Hay Mohammadi,1150000
2,144,3,1,2 Mars,2150000
2,78,2,2,Sidi Maarouf,780000
2,78,2,2,La Gironde,800000
2,96,3,1,Bournazil,780000
